CommonElementNumber,CommonElementName,Synonyms,Description,ElementType,Format,Unit,Element_Allowed_Values_Def,ReportTemplates,Source,PHI,Program-PReference,RegistryName,RegistryElementName,RegistryElementNumber-Section-Subsection,Registry_allowed_values_Defination_Notes,Minimum,Maximum,MaxLength,Step,Usage,Conditional,Cardinality,Hint,RegistryReportTemplates,FirstActiveVersion,LastActiveVersion,Category,Procedure,Modality,BodyArea,Anatomy,
,Intracranial hemorrhage detection,,Presence of intracranial hemorrhage,enumerated,,,absent| present,,DSI,,Neuro Panel,Intracranial hemorrhage detection,Intracranial hemorrhage detection,,absent| present,,,,,required,,one,Intracranial hemorrhage detection,,1,,,CT| head,CT,head,brain,
,laterality of the hemorrhage,,Location of the hemorrhage. Could be either right or left ventricle if hemorrhage is present.,enumerated,,,right| left,,DSI,,Neuro Panel,laterality of the hemorrhage,laterality of the hemorrhage,,right| left,,,,,optional,,one,laterality of the hemorrhage,,1,,,CT| head,CT,head,brain,
,location of the hemorrhage,,"Location of the hemorrhage. Could be either frontal, parietal, temporal, occipital, parafalcine, or cerebellar.",enumerated,,,Frontal| parietal| temporal| occipital| parafalcine| cerebellar,,DSI,,Neuro Panel,location of the hemorrhage,location of the hemorrhage,,Frontal| parietal| temporal| occipital| parafalcine| cerebellar,,,,,optional,,one,location of the hemorrhage,,1,,,CT| head,CT,head,brain,
,comorbidities,,"Associated findings include brain trauma, aneurysms, arteriovenous malformations, brain tumors, or other",enumerated,,,brain trauma| aneurysms| arteriovenous malformations| brain tumors| or other,,DSI,,Neuro Panel,comorbidities,comorbidities,,brain trauma| aneurysms| arteriovenous malformations| brain tumors| or other,,,,,optional,,one,comorbidities,,1,,,CT| head,CT,head,brain,
,Hemorrhage volume,,Volume of bleeding in mm3,float,,,,,DSI,,Neuro  Panel,Hemorrhage volume,Hemorrhage volume,,,,,,,optional,,one,Hemorrhage volume,,1,,,CT| head,CT,head,brain,
,Appendix status,,The status of the appendix,enumerated,,,normal| removed appendicitis,,DSI,,Abdominal panel,Appendix status,Appendix status,,normal| removed appendicitis,,,,,Required,,One,Appendix status,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Appendix rupture,,Presence of rupture in the appendix,enumerated,,,removed appendix|non-ruptured appendix| rupture appendix,,DSI,,Abdominal panel,Appendix rupture,Appendix rupture,,removed appendix|non-ruptured appendix| rupture appendix,,,,,Required,,One,Appendix rupture,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Appendiceal diameter,,Diameter of the appendiceal,float,,mm,,,DSI,,Abdominal panel,Appendiceal diameter,Appendiceal diameter,,,,,,,Required,,One,Appendiceal diameter,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Peri-appendiceal fat stranding,,Detection of fat stranding around appendiceal,enumerated,,,absent| present,,DSI,,Abdominal panel,Peri-appendiceal fat stranding,Peri-appendiceal fat stranding,,absent| present,,,,,Required,,One,Peri-appendiceal fat stranding,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Free fluid,,Detection of free fluid around appendiceal,enumerated,,,absent| present,,DSI,,Abdominal panel,Free fluid,Free fluid,,absent| present,,,,,Required,,One,Free fluid,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Obstructing focus,,Presence of obstruction mass such as a stone or fecalith,enumerated,,,absent| present,,DSI,,Abdominal panel,Obstructing focus,Obstructing focus,,absent| present,,,,,Required,,One,Obstructing focus,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Lumen contents ,,Content within the lumen,enumerated,,,air-filled| contrast-filled| fluid-filled,,DSI,,Abdominal panel,Lumen contents ,Lumen contents ,,air-filled| contrast-filled| fluid-filled,,,,,Required,,One,Lumen contents ,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Peri-appendiceal abscess,,States the presence of the peri-appendiceal abscess,enumerated,,,absent| present,,DSI,,Abdominal panel,Peri-appendiceal abscess,Peri-appendiceal abscess,,absent| present,,,,,Required,,One,Peri-appendiceal abscess,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Opacification,,Opacification of the appendix,enumerated,,,absent| present,,DSI,,Abdominal panel,Opacification,Opacification,,absent| present,,,,,Required,,One,Opacification,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Obstruction,,List of possible obstructions around the appendiceal,enumerated,,,stone| fecalith| tumor| other mass| none,,DSI,,Abdominal panel,Obstruction,Obstruction,,stone| fecalith| tumor| other mass| none,,,,,Optional,,One,Obstruction,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Peri-appendiceal,,Description of the conditions around the appendiceal,enumerated,,,fat stranding| free fluid| abscess,,DSI,,Abdominal panel,Peri-appendiceal,Peri-appendiceal,,fat stranding| free fluid| abscess,,,,,Optional,,One,Peri-appendiceal,,1,,Image,CT| abdomen,CT,abdomen,appendix,
,Gallstone detection,,Detection of gallstone,enumerated,,,absent| present,,DSI,,Abdominal panel,Gallstone detection,Gallstone deection,,absent| present,,,,,Required,,One,Gallstone detection,,1,,Image,CT abdomen| with contrast| without contrast, CT abdomen and pelvis,CT,abdomen,gallbladder
,Pericholecystic fluid detection,,Pericholecystic fluid,enumerated,,,absent| present,,DSI,,Abdominal panel,Pericholecystic fluid detection,Pericholecystic fluid detection,,absent| present,,,,,Required,,One,Pericholecystic fluid detection,,1,,Image,CT abdomen| with contrast| without contrast, CT abdomen and pelvis,CT,abdomen,gallbladder
,Gallbladder lumen distention measurement,,Gallbladder lumen distention,float,,,,,DSI,,Abdominal panel,Gallbladder lumen distention measurement,Gallbladder lumen distention measurement,,,,,,,Required,,One,Gallbladder lumen distention measurement,,1,,Image,CT abdomen| with contrast| without contrast, CT abdomen and pelvis,CT,abdomen,gallbladder
,Cholecystitis detection,,Presence of cholecystitis,enumerated,,,no evidence of cholecystitis| acute cholecystitis| equivocal| complicated,,DSI,,Abdominal panel,Cholecystitis detection,Cholecystitis detection,,no evidence of cholecystitis| acute cholecystitis| equivocal| complicated,,,,,Required,,One,Cholecystitis detection,,1,,Image,ultrasound of the abdomen complete| ultrasound of the right upper quadrant,CT,abdomen,gallbladder,
